timestamp,test-class,test-method,time,description,result
"2022-05-31 18:02:35.674","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","negativeTest",14393,""[1] recordIndex=0, tittle=null, description=description test, startPeriod=2022/09/01 22:00, endPeriod=2022/09/20 22:00, budget=USD 10,000.00, link=https://test.test"","OK"
"2022-05-31 18:02:40.203","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","negativeTest",4070,""[2] recordIndex=1, tittle=tittle test, description=null, startPeriod=2022/09/01 22:00, endPeriod=2022/09/20 22:00, budget=USD 10,000.00, link=https://test.test"","Record index 1 is out of range"
"2022-05-31 18:02:44.026","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","negativeTest",3352,""[3] recordIndex=2, tittle=tittle test, description=description test, startPeriod=null, endPeriod=2022/09/20 22:00, budget=USD 10,000.00, link=https://test.test"","Record index 2 is out of range"
"2022-05-31 18:02:47.833","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","negativeTest",3340,""[4] recordIndex=3, tittle=tittle test, description=description test, startPeriod=2022/09/01 22:00, endPeriod=null, budget=USD 10,000.00, link=https://test.test"","Record index 3 is out of range"
"2022-05-31 18:02:50.94","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","negativeTest",2668,""[5] recordIndex=4, tittle=tittle test, description=description test, startPeriod=2022/09/01 22:00, endPeriod=2022/09/20 22:00, budget=null, link=null"","Cannot find 'By.xpath: //div[@id='mainMenu']/ul/li[a[normalize-space()='Inventor']]/div[contains(@class, 'dropdown-menu')]/a[normalize-space()='List chimpums']'"
