timestamp,test-class,test-method,time,description,result
"2022-05-31 16:52:52.784","acme.testing.inventor.chimpum.InventorChimpumListTest","positiveTest",10479,""[1] recordIndex=0, code=22/05/25, creationMoment=2022/05/25 21:51, tittle=BChimpum tittle 2: Lorem ipsum dolor sit amet cnsectetur adipiscing elit sed do eiusmod tempor incid, description=Lorem ipsum dolor sit amet consectetur adipiscing elit sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in v, budget=2022/07/22 23:00, startPeriod=2022/07/29 23:00, endPeriod=EUR 500.75, link=null"","Expected value '2022/07/22 23:00' in attribute 3 of record 0, but found 'EUR 500.75'"
"2022-05-31 16:52:59.526","acme.testing.inventor.chimpum.InventorChimpumListTest","positiveTest",5999,""[2] recordIndex=2, code=22/05/27, creationMoment=2022/05/27 21:51, tittle=DChimpum tittle 4., description=Chimpum description 4, budget=2022/07/22 23:00, startPeriod=2022/07/29 23:00, endPeriod=USD 2,000.00, link=https://link.com"","Expected value '2022/07/22 23:00' in attribute 3 of record 2, but found 'USD 2,000.00'"
"2022-05-31 16:53:05.915","acme.testing.inventor.chimpum.InventorChimpumListTest","positiveTest",5598,""[3] recordIndex=3, code=22/05/26, creationMoment=2022/05/26 21:51, tittle=CChimpum tittle 3., description=Chimpum description 3, budget=2022/07/20 23:00, startPeriod=2022/07/27 23:00, endPeriod=USD 1,000.00, link=https://link.com"","Record index 3 is out of range"
"2022-05-31 16:53:24.277","acme.testing.inventor.chimpum.InventorChimpumListTest","hackingTest",17665,""hackingTest()"","OK"
