timestamp,test-class,test-method,time,description,result
"2022-05-31 13:50:50.048","acme.testing.inventor.chimpum.InventorChimpumCreateTest","positiveTest",20160,""[1] recordIndex=0, tittle=Tittle test 1, description=Description test, startPeriod=2022/09/06 23:00, endPeriod=2022/10/06 23:00, budget=EUR 1,000.00, link=https://xd.com"","OK"
"2022-05-31 13:50:59.465","acme.testing.inventor.chimpum.InventorChimpumCreateTest","positiveTest",8636,""[2] recordIndex=1, tittle=T, description=D, startPeriod=2022/09/06 23:00, endPeriod=2022/10/06 23:00, budget=null, link=USD 20,000.00"","Expected value 'T' in attribute 2 of record 1, but found 'C5'"
"2022-05-31 13:51:09.801","acme.testing.inventor.chimpum.InventorChimpumCreateTest","positiveTest",9708,""[3] recordIndex=2, tittle=Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Ti, description=Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Tit, startPeriod=2022/09/06 23:00, endPeriod=2022/10/06 23:00, budget=USD 20,000.00, link=null"","Expected value 'Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Ti' in attribute 2 of record 2, but found 'C5'"
