timestamp,test-class,test-method,time,description,result
"2022-05-31 14:15:37.441","acme.testing.inventor.chimpum.InventorDeleteChimpumTest","positiveTest",8931,""[1] recordIndex=0, tittle=Tittle test 1, description=Description test, startPeriod=2022/09/06 23:00, endPeriod=2022/10/06 23:00, budget=EUR 1,000.00, link=https://xd.com"","Expected value 'Tittle test 1' in input box 'tittle', but 'C5' was found"
"2022-05-31 14:15:41.617","acme.testing.inventor.chimpum.InventorDeleteChimpumTest","positiveTest",3538,""[2] recordIndex=1, tittle=T, description=D, startPeriod=2022/09/06 23:00, endPeriod=2022/10/06 23:00, budget=USD 20,000.00, link=null"","Record index 1 is out of range"
"2022-05-31 14:15:46.127","acme.testing.inventor.chimpum.InventorDeleteChimpumTest","positiveTest",4013,""[3] recordIndex=2, tittle=Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Ti, description=Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Tit, startPeriod=2022/09/06 23:00, endPeriod=2022/10/06 23:00, budget=USD 20,000.00, link=null"","Record index 2 is out of range"
