timestamp,test-class,test-method,time,description,result
"2022-05-31 13:55:38.835","acme.testing.inventor.chimpum.InventorChimpumCreateTest","positiveTest",19534,""[1] recordIndex=0, tittle=Tittle test 1, description=Description test, startPeriod=2022/09/06 23:00, endPeriod=2022/10/06 23:00, budget=EUR 1,000.00, link=https://xd.com"","OK"
"2022-05-31 13:55:53.541","acme.testing.inventor.chimpum.InventorChimpumCreateTest","positiveTest",14128,""[2] recordIndex=1, tittle=T, description=D, startPeriod=2022/09/06 23:00, endPeriod=2022/10/06 23:00, budget=USD 20,000.00, link=null"","OK"
"2022-05-31 13:56:07.552","acme.testing.inventor.chimpum.InventorChimpumCreateTest","positiveTest",13449,""[3] recordIndex=2, tittle=Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Ti, description=Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Tittle test 1.Tit, startPeriod=2022/09/06 23:00, endPeriod=2022/10/06 23:00, budget=USD 20,000.00, link=null"","OK"
