timestamp,test-class,test-method,time,description,result
"2022-05-31 16:38:29.319","acme.testing.inventor.chimpum.InventorChimpumListTest","positiveTest",10528,""[1] recordIndex=0, code=22/05/25, creationMoment=2022/05/25 21:51, tittle=BChimpum tittle 2: Lorem ipsum dolor sit amet cnsectetur adipiscing elit sed do eiusmod tempor incid, budget=Lorem ipsum dolor sit amet consectetur adipiscing elit sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in v, startPeriod=2022/07/22 23:00, endPeriod=2022/07/29 23:00, link=EUR 500.75"","Expected value 'Lorem ipsum dolor sit amet consectetur adipiscing elit sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in v' in attribute 3 of record 0, but found 'EUR 500.75'"
"2022-05-31 16:38:36.046","acme.testing.inventor.chimpum.InventorChimpumListTest","positiveTest",6037,""[2] recordIndex=2, code=22/05/27, creationMoment=2022/05/27 21:51, tittle=DChimpum tittle 4., budget=Chimpum description 4, startPeriod=2022/07/22 23:00, endPeriod=2022/07/29 23:00, link=USD 2,000.00"","Expected value 'Chimpum description 4' in attribute 3 of record 2, but found 'USD 2,000.00'"
"2022-05-31 16:38:42.019","acme.testing.inventor.chimpum.InventorChimpumListTest","positiveTest",5248,""[3] recordIndex=3, code=22/05/26, creationMoment=2022/05/26 21:51, tittle=CChimpum tittle 3., budget=Chimpum description 3, startPeriod=2022/07/20 23:00, endPeriod=2022/07/27 23:00, link=USD 1,000.00"","Record index 3 is out of range"
"2022-05-31 16:38:56.937","acme.testing.inventor.chimpum.InventorChimpumListTest","hackingTest",14367,""hackingTest()"","OK"
